Cases,week,year
0,1,2012
0,2,2012
0,3,2012
0,4,2012
0,5,2012
0,6,2012
0,7,2012
0,8,2012
0,9,2012
0,10,2012
0,11,2012
0,12,2012
0,13,2012
0,14,2012
0,15,2012
0,16,2012
0,17,2012
0,18,2012
0,19,2012
7,20,2012
2,21,2012
0,22,2012
1,23,2012
0,24,2012
0,25,2012
0,26,2012
0,27,2012
1,28,2012
0,29,2012
0,30,2012
0,31,2012
1,32,2012
0,33,2012
0,34,2012
0,35,2012
0,36,2012
0,37,2012
0,38,2012
0,39,2012
0,40,2012
0,41,2012
0,42,2012
0,43,2012
0,44,2012
0,45,2012
0,46,2012
0,47,2012
0,48,2012
7,49,2012
5,50,2012
0,51,2012
0,52,2012
3,1,2013
6,2,2013
0,3,2013
12,4,2013
4,5,2013
9,6,2013
0,7,2013
0,8,2013
37,9,2013
149,10,2013
135,11,2013
142,12,2013
86,13,2013
17,14,2013
133,15,2013
230,16,2013
80,17,2013
125,18,2013
120,19,2013
196,20,2013
122,21,2013
149,22,2013
185,23,2013
24,24,2013
168,25,2013
162,26,2013
134,27,2013
90,28,2013
114,29,2013
89,30,2013
105,31,2013
68,32,2013
68,33,2013
66,34,2013
42,35,2013
27,36,2013
104,37,2013
82,38,2013
70,39,2013
88,40,2013
43,41,2013
26,42,2013
32,43,2013
10,44,2013
0,45,2013
39,46,2013
41,47,2013
38,48,2013
9,49,2013
4,50,2013
0,51,2013
26,52,2013
11,1,2014
27,2,2014
16,3,2014
16,4,2014
39,5,2014
45,6,2014
43,7,2014
82,8,2014
93,9,2014
26,10,2014
18,11,2014
82,12,2014
95,13,2014
139,14,2014
149,15,2014
136,16,2014
94,17,2014
144,18,2014
83,19,2014
59,20,2014
104,21,2014
53,22,2014
65,23,2014
65,24,2014
53,25,2014
29,26,2014
40,27,2014
43,28,2014
26,29,2014
24,30,2014
9,31,2014
5,32,2014
23,33,2014
16,34,2014
0,35,2014
42,36,2014
6,37,2014
6,38,2014
0,39,2014
0,40,2014
1,41,2014
3,42,2014
0,43,2014
49,44,2014
3,45,2014
1,46,2014
2,47,2014
0,48,2014
0,49,2014
14,50,2014
9,51,2014
9,52,2014
5,1,2015
26,2,2015
36,3,2015
29,4,2015
20,5,2015
45,6,2015
134,7,2015
99,8,2015
91,9,2015
66,10,2015
140,11,2015
243,12,2015
72,13,2015
108,14,2015
83,15,2015
204,16,2015
127,17,2015
102,18,2015
41,19,2015
27,20,2015
21,21,2015
57,22,2015
35,23,2015
45,24,2015
17,25,2015
27,26,2015
19,27,2015
12,28,2015
15,29,2015
38,30,2015
12,31,2015
8,32,2015
7,33,2015
6,34,2015
21,35,2015
38,36,2015
12,37,2015
9,38,2015
19,39,2015
18,40,2015
15,41,2015
18,42,2015
27,43,2015
14,44,2015
9,45,2015
13,46,2015
15,47,2015
7,48,2015
14,49,2015
5,50,2015
3,51,2015
7,52,2015
6,53,2015
4,1,2016
15,2,2016
30,3,2016
35,4,2016
18,5,2016
28,6,2016
45,7,2016
79,8,2016
59,9,2016
48,10,2016
101,11,2016
82,12,2016
101,13,2016
43,14,2016
86,15,2016
52,16,2016
75,17,2016
41,18,2016
36,19,2016
41,20,2016
40,21,2016
27,22,2016
14,23,2016
26,24,2016
23,25,2016
17,26,2016
12,27,2016
11,28,2016
13,29,2016
12,30,2016
7,31,2016
13,32,2016
19,33,2016
26,34,2016
22,35,2016
11,36,2016
16,37,2016
13,38,2016
7,39,2016
6,40,2016
7,41,2016
11,42,2016
7,43,2016
7,44,2016
4,45,2016
2,46,2016
8,47,2016
20,48,2016
14,49,2016
15,50,2016
25,51,2016
9,52,2016
6,1,2017
10,2,2017
16,3,2017
42,4,2017
38,5,2017
24,6,2017
39,7,2017
88,8,2017
71,9,2017
65,10,2017
101,11,2017
104,12,2017
95,13,2017
94,14,2017
76,15,2017
98,16,2017
94,17,2017
55,18,2017
71,19,2017
87,20,2017
66,21,2017
60,22,2017
57,23,2017
68,24,2017
41,25,2017
48,26,2017
29,27,2017
26,28,2017
24,29,2017
37,30,2017
18,31,2017
36,32,2017
37,33,2017
47,34,2017
16,35,2017
15,36,2017
19,37,2017
23,38,2017
28,39,2017
28,40,2017
22,41,2017
22,42,2017
20,43,2017
26,44,2017
39,45,2017
29,46,2017
37,47,2017
36,48,2017
24,49,2017
36,50,2017
26,51,2017
7,52,2017