"","season","season_week","week_start_date","total_cases","mm","total_cases1","total_cases2","total_cases3","total_cases4","total_cases5","mm1","mm2","mm3","mm4","mm5"
"235","2004/2005",27,"1/1/2005",9,70.6,7,32,116,83,18,65.36,109.83,49.56,70.04,53.01
"236","2004/2005",28,"1/8/2005",10,93.73,9,7,32,116,83,70.6,65.36,109.83,49.56,70.04
"237","2004/2005",29,"1/15/2005",5,60.52,10,9,7,32,116,93.73,70.6,65.36,109.83,49.56
"238","2004/2005",30,"1/22/2005",8,25.67,5,10,9,7,32,60.52,93.73,70.6,65.36,109.83
"239","2004/2005",31,"1/29/2005",7,88.96,8,5,10,9,7,25.67,60.52,93.73,70.6,65.36
"240","2004/2005",32,"2/5/2005",8,52.61,7,8,5,10,9,88.96,25.67,60.52,93.73,70.6
"241","2004/2005",33,"2/12/2005",11,125.35,8,7,8,5,10,52.61,88.96,25.67,60.52,93.73
"242","2004/2005",34,"2/19/2005",6,46.98,11,8,7,8,5,125.35,52.61,88.96,25.67,60.52
"243","2004/2005",35,"2/26/2005",7,54.22,6,11,8,7,8,46.98,125.35,52.61,88.96,25.67
"244","2004/2005",36,"3/5/2005",7,155.54,7,6,11,8,7,54.22,46.98,125.35,52.61,88.96
"245","2004/2005",37,"3/12/2005",14,162.51,7,7,6,11,8,155.54,54.22,46.98,125.35,52.61
"246","2004/2005",38,"3/19/2005",7,99.37,14,7,7,6,11,162.51,155.54,54.22,46.98,125.35
"247","2004/2005",39,"3/26/2005",9,55.12,7,14,7,7,6,99.37,162.51,155.54,54.22,46.98
"248","2004/2005",40,"4/2/2005",13,87.41,9,7,14,7,7,55.12,99.37,162.51,155.54,54.22
"249","2004/2005",41,"4/9/2005",16,40.03,13,9,7,14,7,87.41,55.12,99.37,162.51,155.54
"250","2004/2005",42,"4/16/2005",7,37.6,16,13,9,7,14,40.03,87.41,55.12,99.37,162.51
"251","2004/2005",43,"4/23/2005",9,78.8,7,16,13,9,7,37.6,40.03,87.41,55.12,99.37
"252","2004/2005",44,"4/30/2005",2,33.29,9,7,16,13,9,78.8,37.6,40.03,87.41,55.12
"253","2004/2005",45,"5/7/2005",13,49.07,2,9,7,16,13,33.29,78.8,37.6,40.03,87.41
"254","2004/2005",46,"5/14/2005",8,56.22,13,2,9,7,16,49.07,33.29,78.8,37.6,40.03
"255","2004/2005",47,"5/21/2005",3,43.14,8,13,2,9,7,56.22,49.07,33.29,78.8,37.6
"256","2004/2005",48,"5/28/2005",5,61.75,3,8,13,2,9,43.14,56.22,49.07,33.29,78.8
"257","2004/2005",49,"6/4/2005",4,40.44,5,3,8,13,2,61.75,43.14,56.22,49.07,33.29
"258","2004/2005",50,"6/11/2005",8,104.83,4,5,3,8,13,40.44,61.75,43.14,56.22,49.07
"259","2004/2005",51,"6/18/2005",2,51.97,8,4,5,3,8,104.83,40.44,61.75,43.14,56.22
"260","2004/2005",52,"6/25/2005",3,26.69,2,8,4,5,3,51.97,104.83,40.44,61.75,43.14
"261","2005/2006",1,"7/2/2005",5,50.75,3,2,8,4,5,26.69,51.97,104.83,40.44,61.75
"262","2005/2006",2,"7/9/2005",7,98.02,5,3,2,8,4,50.75,26.69,51.97,104.83,40.44
"263","2005/2006",3,"7/16/2005",3,56.9,7,5,3,2,8,98.02,50.75,26.69,51.97,104.83
"264","2005/2006",4,"7/23/2005",5,12.75,3,7,5,3,2,56.9,98.02,50.75,26.69,51.97
"265","2005/2006",5,"7/30/2005",6,6.01,5,3,7,5,3,12.75,56.9,98.02,50.75,26.69
"266","2005/2006",6,"8/6/2005",5,49.08,6,5,3,7,5,6.01,12.75,56.9,98.02,50.75
"267","2005/2006",7,"8/13/2005",5,36.96,5,6,5,3,7,49.08,6.01,12.75,56.9,98.02
"268","2005/2006",8,"8/20/2005",4,33.59,5,5,6,5,3,36.96,49.08,6.01,12.75,56.9
"269","2005/2006",9,"8/27/2005",0,21.15,4,5,5,6,5,33.59,36.96,49.08,6.01,12.75
"270","2005/2006",10,"9/3/2005",0,28.64,0,4,5,5,6,21.15,33.59,36.96,49.08,6.01
"271","2005/2006",11,"9/10/2005",0,20.68,0,0,4,5,5,28.64,21.15,33.59,36.96,49.08
"272","2005/2006",12,"9/17/2005",0,2.93,0,0,0,4,5,20.68,28.64,21.15,33.59,36.96
"273","2005/2006",13,"9/24/2005",0,74.41,0,0,0,0,4,2.93,20.68,28.64,21.15,33.59
"274","2005/2006",14,"10/1/2005",2,14.4,0,0,0,0,0,74.41,2.93,20.68,28.64,21.15
"275","2005/2006",15,"10/8/2005",4,53.3,2,0,0,0,0,14.4,74.41,2.93,20.68,28.64
"276","2005/2006",16,"10/15/2005",4,75.92,4,2,0,0,0,53.3,14.4,74.41,2.93,20.68
"277","2005/2006",17,"10/22/2005",3,109.2,4,4,2,0,0,75.92,53.3,14.4,74.41,2.93
"278","2005/2006",18,"10/29/2005",3,75.93,3,4,4,2,0,109.2,75.92,53.3,14.4,74.41
"279","2005/2006",19,"11/5/2005",5,48.48,3,3,4,4,2,75.93,109.2,75.92,53.3,14.4
"280","2005/2006",20,"11/12/2005",6,48.88,5,3,3,4,4,48.48,75.93,109.2,75.92,53.3
"281","2005/2006",21,"11/19/2005",14,89.75,6,5,3,3,4,48.88,48.48,75.93,109.2,75.92
"282","2005/2006",22,"11/26/2005",3,61.11,14,6,5,3,3,89.75,48.88,48.48,75.93,109.2
"283","2005/2006",23,"12/3/2005",7,65.21,3,14,6,5,3,61.11,89.75,48.88,48.48,75.93
"284","2005/2006",24,"12/10/2005",11,84.43,7,3,14,6,5,65.21,61.11,89.75,48.88,48.48
"285","2005/2006",25,"12/17/2005",2,111.92,11,7,3,14,6,84.43,65.21,61.11,89.75,48.88
"286","2005/2006",26,"12/24/2005",6,83.43,2,11,7,3,14,111.92,84.43,65.21,61.11,89.75
"287","2005/2006",27,"1/1/2006",8,9.33,6,2,11,7,3,83.43,111.92,84.43,65.21,61.11
"288","2005/2006",28,"1/8/2006",25,141.08,8,6,2,11,7,9.33,83.43,111.92,84.43,65.21
"289","2005/2006",29,"1/15/2006",21,120.61,25,8,6,2,11,141.08,9.33,83.43,111.92,84.43
"290","2005/2006",30,"1/22/2006",10,14.04,21,25,8,6,2,120.61,141.08,9.33,83.43,111.92
"291","2005/2006",31,"1/29/2006",28,42.66,10,21,25,8,6,14.04,120.61,141.08,9.33,83.43
"292","2005/2006",32,"2/5/2006",39,67.14,28,10,21,25,8,42.66,14.04,120.61,141.08,9.33
"293","2005/2006",33,"2/12/2006",20,43.46,39,28,10,21,25,67.14,42.66,14.04,120.61,141.08
"294","2005/2006",34,"2/19/2006",24,28.33,20,39,28,10,21,43.46,67.14,42.66,14.04,120.61
"295","2005/2006",35,"2/26/2006",28,88.99,24,20,39,28,10,28.33,43.46,67.14,42.66,14.04
"296","2005/2006",36,"3/5/2006",26,82.4,28,24,20,39,28,88.99,28.33,43.46,67.14,42.66
"297","2005/2006",37,"3/12/2006",8,152.53,26,28,24,20,39,82.4,88.99,28.33,43.46,67.14
"298","2005/2006",38,"3/19/2006",9,98.43,8,26,28,24,20,152.53,82.4,88.99,28.33,43.46
"299","2005/2006",39,"3/26/2006",12,114.48,9,8,26,28,24,98.43,152.53,82.4,88.99,28.33
"300","2005/2006",40,"4/2/2006",18,41.34,12,9,8,26,28,114.48,98.43,152.53,82.4,88.99
"301","2005/2006",41,"4/9/2006",9,90.42,18,12,9,8,26,41.34,114.48,98.43,152.53,82.4
"302","2005/2006",42,"4/16/2006",9,49.95,9,18,12,9,8,90.42,41.34,114.48,98.43,152.53
"303","2005/2006",43,"4/23/2006",6,88.44,9,9,18,12,9,49.95,90.42,41.34,114.48,98.43
"304","2005/2006",44,"4/30/2006",6,71.28,6,9,9,18,12,88.44,49.95,90.42,41.34,114.48
"305","2005/2006",45,"5/7/2006",8,107.24,6,6,9,9,18,71.28,88.44,49.95,90.42,41.34
"306","2005/2006",46,"5/14/2006",5,0,8,6,6,9,9,107.24,71.28,88.44,49.95,90.42
"307","2005/2006",47,"5/21/2006",7,145.63,5,8,6,6,9,0,107.24,71.28,88.44,49.95
"308","2005/2006",48,"5/28/2006",6,48.13,7,5,8,6,6,145.63,0,107.24,71.28,88.44
"309","2005/2006",49,"6/4/2006",5,109.37,6,7,5,8,6,48.13,145.63,0,107.24,71.28
"310","2005/2006",50,"6/11/2006",3,118.68,5,6,7,5,8,109.37,48.13,145.63,0,107.24
"311","2005/2006",51,"6/18/2006",1,37.49,3,5,6,7,5,118.68,109.37,48.13,145.63,0
"312","2005/2006",52,"6/25/2006",0,18.97,1,3,5,6,7,37.49,118.68,109.37,48.13,145.63
"313","2006/2007",1,"7/2/2006",1,19.05,0,1,3,5,6,18.97,37.49,118.68,109.37,48.13
"314","2006/2007",2,"7/9/2006",2,0,1,0,1,3,5,19.05,18.97,37.49,118.68,109.37
"315","2006/2007",3,"7/16/2006",3,54.72,2,1,0,1,3,0,19.05,18.97,37.49,118.68
"316","2006/2007",4,"7/23/2006",2,32.19,3,2,1,0,1,54.72,0,19.05,18.97,37.49
"317","2006/2007",5,"7/30/2006",2,41.43,2,3,2,1,0,32.19,54.72,0,19.05,18.97
"318","2006/2007",6,"8/6/2006",2,13.32,2,2,3,2,1,41.43,32.19,54.72,0,19.05
"319","2006/2007",7,"8/13/2006",2,51.81,2,2,2,3,2,13.32,41.43,32.19,54.72,0
"320","2006/2007",8,"8/20/2006",2,66.03,2,2,2,2,3,51.81,13.32,41.43,32.19,54.72
"321","2006/2007",9,"8/27/2006",4,74.37,2,2,2,2,2,66.03,51.81,13.32,41.43,32.19
"322","2006/2007",10,"9/3/2006",0,93.45,4,2,2,2,2,74.37,66.03,51.81,13.32,41.43
"323","2006/2007",11,"9/10/2006",6,128.42,0,4,2,2,2,93.45,74.37,66.03,51.81,13.32
"324","2006/2007",12,"9/17/2006",3,57.81,6,0,4,2,2,128.42,93.45,74.37,66.03,51.81
"325","2006/2007",13,"9/24/2006",2,147.98,3,6,0,4,2,57.81,128.42,93.45,74.37,66.03
"326","2006/2007",14,"10/1/2006",6,49.94,2,3,6,0,4,147.98,57.81,128.42,93.45,74.37
"327","2006/2007",15,"10/8/2006",2,63.78,6,2,3,6,0,49.94,147.98,57.81,128.42,93.45
"328","2006/2007",16,"10/15/2006",7,86.21,2,6,2,3,6,63.78,49.94,147.98,57.81,128.42
"329","2006/2007",17,"10/22/2006",4,43.93,7,2,6,2,3,86.21,63.78,49.94,147.98,57.81
"330","2006/2007",18,"10/29/2006",6,94.15,4,7,2,6,2,43.93,86.21,63.78,49.94,147.98
"331","2006/2007",19,"11/5/2006",6,55.66,6,4,7,2,6,94.15,43.93,86.21,63.78,49.94
"332","2006/2007",20,"11/12/2006",2,95.76,6,6,4,7,2,55.66,94.15,43.93,86.21,63.78
"333","2006/2007",21,"11/19/2006",13,32.42,2,6,6,4,7,95.76,55.66,94.15,43.93,86.21
"334","2006/2007",22,"11/26/2006",10,87.84,13,2,6,6,4,32.42,95.76,55.66,94.15,43.93
"335","2006/2007",23,"12/3/2006",5,109.77,10,13,2,6,6,87.84,32.42,95.76,55.66,94.15
"336","2006/2007",24,"12/10/2006",2,179.75,5,10,13,2,6,109.77,87.84,32.42,95.76,55.66
"337","2006/2007",25,"12/17/2006",0,90.72,2,5,10,13,2,179.75,109.77,87.84,32.42,95.76
"338","2006/2007",26,"12/24/2006",1,94.16,0,2,5,10,13,90.72,179.75,109.77,87.84,32.42
"339","2006/2007",27,"1/1/2007",0,76.37,1,0,2,5,10,94.16,90.72,179.75,109.77,87.84
"340","2006/2007",28,"1/8/2007",14,37.85,0,1,0,2,5,76.37,94.16,90.72,179.75,109.77
"341","2006/2007",29,"1/15/2007",6,131.9,14,0,1,0,2,37.85,76.37,94.16,90.72,179.75
"342","2006/2007",30,"1/22/2007",10,91.67,6,14,0,1,0,131.9,37.85,76.37,94.16,90.72
"343","2006/2007",31,"1/29/2007",5,83.83,10,6,14,0,1,91.67,131.9,37.85,76.37,94.16
"344","2006/2007",32,"2/5/2007",12,59.67,5,10,6,14,0,83.83,91.67,131.9,37.85,76.37
"345","2006/2007",33,"2/12/2007",9,19.23,12,5,10,6,14,59.67,83.83,91.67,131.9,37.85
"346","2006/2007",34,"2/19/2007",5,44.83,9,12,5,10,6,19.23,59.67,83.83,91.67,131.9
"347","2006/2007",35,"2/26/2007",11,33.77,5,9,12,5,10,44.83,19.23,59.67,83.83,91.67
"348","2006/2007",36,"3/5/2007",2,116.95,11,5,9,12,5,33.77,44.83,19.23,59.67,83.83
"349","2006/2007",37,"3/12/2007",6,69.02,2,11,5,9,12,116.95,33.77,44.83,19.23,59.67
"350","2006/2007",38,"3/19/2007",7,135.2,6,2,11,5,9,69.02,116.95,33.77,44.83,19.23
"351","2006/2007",39,"3/26/2007",6,96.94,7,6,2,11,5,135.2,69.02,116.95,33.77,44.83
"352","2006/2007",40,"4/2/2007",5,93.76,6,7,6,2,11,96.94,135.2,69.02,116.95,33.77
"353","2006/2007",41,"4/9/2007",9,136.49,5,6,7,6,2,93.76,96.94,135.2,69.02,116.95
"354","2006/2007",42,"4/16/2007",5,86.16,9,5,6,7,6,136.49,93.76,96.94,135.2,69.02
"355","2006/2007",43,"4/23/2007",8,161.88,5,9,5,6,7,86.16,136.49,93.76,96.94,135.2
"356","2006/2007",44,"4/30/2007",3,68.87,8,5,9,5,6,161.88,86.16,136.49,93.76,96.94
"357","2006/2007",45,"5/7/2007",4,90.81,3,8,5,9,5,68.87,161.88,86.16,136.49,93.76
"358","2006/2007",46,"5/14/2007",11,48.47,4,3,8,5,9,90.81,68.87,161.88,86.16,136.49
"359","2006/2007",47,"5/21/2007",5,79.7,11,4,3,8,5,48.47,90.81,68.87,161.88,86.16
"360","2006/2007",48,"5/28/2007",8,55.4,5,11,4,3,8,79.7,48.47,90.81,68.87,161.88
"361","2006/2007",49,"6/4/2007",4,39.11,8,5,11,4,3,55.4,79.7,48.47,90.81,68.87
"362","2006/2007",50,"6/11/2007",3,65.45,4,8,5,11,4,39.11,55.4,79.7,48.47,90.81
"363","2006/2007",51,"6/18/2007",1,68.16,3,4,8,5,11,65.45,39.11,55.4,79.7,48.47
"364","2006/2007",52,"6/25/2007",2,11.41,1,3,4,8,5,68.16,65.45,39.11,55.4,79.7
"365","2007/2008",1,"7/2/2007",3,2.66,2,1,3,4,8,11.41,68.16,65.45,39.11,55.4
"366","2007/2008",2,"7/9/2007",4,18.39,3,2,1,3,4,2.66,11.41,68.16,65.45,39.11
"367","2007/2008",3,"7/16/2007",1,30.65,4,3,2,1,3,18.39,2.66,11.41,68.16,65.45
"368","2007/2008",4,"7/23/2007",8,37.2,1,4,3,2,1,30.65,18.39,2.66,11.41,68.16
"369","2007/2008",5,"7/30/2007",5,56.55,8,1,4,3,2,37.2,30.65,18.39,2.66,11.41
"370","2007/2008",6,"8/6/2007",3,35.77,5,8,1,4,3,56.55,37.2,30.65,18.39,2.66
"371","2007/2008",7,"8/13/2007",2,36.78,3,5,8,1,4,35.77,56.55,37.2,30.65,18.39
"372","2007/2008",8,"8/20/2007",7,9.06,2,3,5,8,1,36.78,35.77,56.55,37.2,30.65
"373","2007/2008",9,"8/27/2007",1,59.06,7,2,3,5,8,9.06,36.78,35.77,56.55,37.2
"374","2007/2008",10,"9/3/2007",6,52.45,1,7,2,3,5,59.06,9.06,36.78,35.77,56.55
"375","2007/2008",11,"9/10/2007",7,47.06,6,1,7,2,3,52.45,59.06,9.06,36.78,35.77
"376","2007/2008",12,"9/17/2007",5,59.73,7,6,1,7,2,47.06,52.45,59.06,9.06,36.78
"377","2007/2008",13,"9/24/2007",2,66.03,5,7,6,1,7,59.73,47.06,52.45,59.06,9.06
"378","2007/2008",14,"10/1/2007",6,30.96,2,5,7,6,1,66.03,59.73,47.06,52.45,59.06
"379","2007/2008",15,"10/8/2007",11,44.99,6,2,5,7,6,30.96,66.03,59.73,47.06,52.45
"380","2007/2008",16,"10/15/2007",6,93.51,11,6,2,5,7,44.99,30.96,66.03,59.73,47.06
"381","2007/2008",17,"10/22/2007",3,79.73,6,11,6,2,5,93.51,44.99,30.96,66.03,59.73
"382","2007/2008",18,"10/29/2007",11,50.93,3,6,11,6,2,79.73,93.51,44.99,30.96,66.03
"383","2007/2008",19,"11/5/2007",11,69.47,11,3,6,11,6,50.93,79.73,93.51,44.99,30.96
"384","2007/2008",20,"11/12/2007",5,115.01,11,11,3,6,11,69.47,50.93,79.73,93.51,44.99
"385","2007/2008",21,"11/19/2007",4,60.56,5,11,11,3,6,115.01,69.47,50.93,79.73,93.51
"386","2007/2008",22,"11/26/2007",9,133.94,4,5,11,11,3,60.56,115.01,69.47,50.93,79.73
"387","2007/2008",23,"12/3/2007",23,54.01,9,4,5,11,11,133.94,60.56,115.01,69.47,50.93
"388","2007/2008",24,"12/10/2007",28,89.43,23,9,4,5,11,54.01,133.94,60.56,115.01,69.47
"389","2007/2008",25,"12/17/2007",26,146.29,28,23,9,4,5,89.43,54.01,133.94,60.56,115.01
"390","2007/2008",26,"12/24/2007",7,53.42,26,28,23,9,4,146.29,89.43,54.01,133.94,60.56
"391","2007/2008",27,"1/1/2008",29,77.37,7,26,28,23,9,53.42,146.29,89.43,54.01,133.94
"392","2007/2008",28,"1/8/2008",58,71.16,29,7,26,28,23,77.37,53.42,146.29,89.43,54.01
"393","2007/2008",29,"1/15/2008",26,135.72,58,29,7,26,28,71.16,77.37,53.42,146.29,89.43
"394","2007/2008",30,"1/22/2008",38,71.26,26,58,29,7,26,135.72,71.16,77.37,53.42,146.29
"395","2007/2008",31,"1/29/2008",35,101.36,38,26,58,29,7,71.26,135.72,71.16,77.37,53.42
"396","2007/2008",32,"2/5/2008",37,36.14,35,38,26,58,29,101.36,71.26,135.72,71.16,77.37
"397","2007/2008",33,"2/12/2008",20,57.12,37,35,38,26,58,36.14,101.36,71.26,135.72,71.16
"398","2007/2008",34,"2/19/2008",29,113.49,20,37,35,38,26,57.12,36.14,101.36,71.26,135.72
"399","2007/2008",35,"2/26/2008",25,111.17,29,20,37,35,38,113.49,57.12,36.14,101.36,71.26
"400","2007/2008",36,"3/4/2008",23,181.24,25,29,20,37,35,111.17,113.49,57.12,36.14,101.36
"401","2007/2008",37,"3/11/2008",9,127.58,23,25,29,20,37,181.24,111.17,113.49,57.12,36.14
"402","2007/2008",38,"3/18/2008",3,60.09,9,23,25,29,20,127.58,181.24,111.17,113.49,57.12
"403","2007/2008",39,"3/25/2008",6,54.71,3,9,23,25,29,60.09,127.58,181.24,111.17,113.49
"404","2007/2008",40,"4/1/2008",6,141.06,6,3,9,23,25,54.71,60.09,127.58,181.24,111.17
"405","2007/2008",41,"4/8/2008",3,72,6,6,3,9,23,141.06,54.71,60.09,127.58,181.24
"406","2007/2008",42,"4/15/2008",1,75.4,3,6,6,3,9,72,141.06,54.71,60.09,127.58
"407","2007/2008",43,"4/22/2008",3,10.66,1,3,6,6,3,75.4,72,141.06,54.71,60.09
"408","2007/2008",44,"4/29/2008",1,80.92,3,1,3,6,6,10.66,75.4,72,141.06,54.71
"409","2007/2008",45,"5/6/2008",1,8.33,1,3,1,3,6,80.92,10.66,75.4,72,141.06
"410","2007/2008",46,"5/13/2008",0,30.08,1,1,3,1,3,8.33,80.92,10.66,75.4,72
"411","2007/2008",47,"5/20/2008",2,78.43,0,1,1,3,1,30.08,8.33,80.92,10.66,75.4
"412","2007/2008",48,"5/27/2008",1,60.45,2,0,1,1,3,78.43,30.08,8.33,80.92,10.66
"413","2007/2008",49,"6/3/2008",1,8.94,1,2,0,1,1,60.45,78.43,30.08,8.33,80.92
"414","2007/2008",50,"6/10/2008",0,48.46,1,1,2,0,1,8.94,60.45,78.43,30.08,8.33
"415","2007/2008",51,"6/17/2008",0,86.93,0,1,1,2,0,48.46,8.94,60.45,78.43,30.08
"416","2007/2008",52,"6/24/2008",1,78.94,0,0,1,1,2,86.93,48.46,8.94,60.45,78.43
"417","2008/2009",1,"7/1/2008",0,0,1,0,0,1,1,78.94,86.93,48.46,8.94,60.45
"418","2008/2009",2,"7/8/2008",3,48.13,0,1,0,0,1,0,78.94,86.93,48.46,8.94
"419","2008/2009",3,"7/15/2008",3,56.21,3,0,1,0,0,48.13,0,78.94,86.93,48.46
"420","2008/2009",4,"7/22/2008",1,47.8,3,3,0,1,0,56.21,48.13,0,78.94,86.93
"421","2008/2009",5,"7/29/2008",5,29.14,1,3,3,0,1,47.8,56.21,48.13,0,78.94
"422","2008/2009",6,"8/5/2008",2,15.96,5,1,3,3,0,29.14,47.8,56.21,48.13,0
"423","2008/2009",7,"8/12/2008",5,32.25,2,5,1,3,3,15.96,29.14,47.8,56.21,48.13
"424","2008/2009",8,"8/19/2008",5,29.35,5,2,5,1,3,32.25,15.96,29.14,47.8,56.21
"425","2008/2009",9,"8/26/2008",5,40.91,5,5,2,5,1,29.35,32.25,15.96,29.14,47.8
"426","2008/2009",10,"9/2/2008",9,48.63,5,5,5,2,5,40.91,29.35,32.25,15.96,29.14
"427","2008/2009",11,"9/9/2008",17,80.32,9,5,5,5,2,48.63,40.91,29.35,32.25,15.96
"428","2008/2009",12,"9/16/2008",19,64.24,17,9,5,5,5,80.32,48.63,40.91,29.35,32.25
"429","2008/2009",13,"9/23/2008",25,52.99,19,17,9,5,5,64.24,80.32,48.63,40.91,29.35
"430","2008/2009",14,"9/30/2008",45,35.33,25,19,17,9,5,52.99,64.24,80.32,48.63,40.91
"431","2008/2009",15,"10/7/2008",34,62.48,45,25,19,17,9,35.33,52.99,64.24,80.32,48.63
"432","2008/2009",16,"10/14/2008",63,67.9,34,45,25,19,17,62.48,35.33,52.99,64.24,80.32
"433","2008/2009",17,"10/21/2008",44,81.76,63,34,45,25,19,67.9,62.48,35.33,52.99,64.24
"434","2008/2009",18,"10/28/2008",50,26.28,44,63,34,45,25,81.76,67.9,62.48,35.33,52.99
"435","2008/2009",19,"11/4/2008",35,56.92,50,44,63,34,45,26.28,81.76,67.9,62.48,35.33
"436","2008/2009",20,"11/11/2008",16,67.33,35,50,44,63,34,56.92,26.28,81.76,67.9,62.48
"437","2008/2009",21,"11/18/2008",16,49.39,16,35,50,44,63,67.33,56.92,26.28,81.76,67.9
"438","2008/2009",22,"11/25/2008",13,75.88,16,16,35,50,44,49.39,67.33,56.92,26.28,81.76
"439","2008/2009",23,"12/2/2008",9,55.5,13,16,16,35,50,75.88,49.39,67.33,56.92,26.28
"440","2008/2009",24,"12/9/2008",15,58.64,9,13,16,16,35,55.5,75.88,49.39,67.33,56.92
"441","2008/2009",25,"12/16/2008",4,66.8,15,9,13,16,16,58.64,55.5,75.88,49.39,67.33
"442","2008/2009",26,"12/23/2008",0,57.11,4,15,9,13,16,66.8,58.64,55.5,75.88,49.39
"443","2008/2009",27,"1/1/2009",1,9.41,0,4,15,9,13,57.11,66.8,58.64,55.5,75.88
"444","2008/2009",28,"1/8/2009",10,91.43,1,0,4,15,9,9.41,57.11,66.8,58.64,55.5
"445","2008/2009",29,"1/15/2009",11,47.21,10,1,0,4,15,91.43,9.41,57.11,66.8,58.64
"446","2008/2009",30,"1/22/2009",29,74.12,11,10,1,0,4,47.21,91.43,9.41,57.11,66.8
"447","2008/2009",31,"1/29/2009",35,203.32,29,11,10,1,0,74.12,47.21,91.43,9.41,57.11
"448","2008/2009",32,"2/5/2009",30,86.41,35,29,11,10,1,203.32,74.12,47.21,91.43,9.41
"449","2008/2009",33,"2/12/2009",20,94.85,30,35,29,11,10,86.41,203.32,74.12,47.21,91.43
"450","2008/2009",34,"2/19/2009",21,133.08,20,30,35,29,11,94.85,86.41,203.32,74.12,47.21
"451","2008/2009",35,"2/26/2009",12,71.24,21,20,30,35,29,133.08,94.85,86.41,203.32,74.12
"452","2008/2009",36,"3/5/2009",9,110.92,12,21,20,30,35,71.24,133.08,94.85,86.41,203.32
"453","2008/2009",37,"3/12/2009",11,92.15,9,12,21,20,30,110.92,71.24,133.08,94.85,86.41
"454","2008/2009",38,"3/19/2009",9,99.02,11,9,12,21,20,92.15,110.92,71.24,133.08,94.85
"455","2008/2009",39,"3/26/2009",5,113.76,9,11,9,12,21,99.02,92.15,110.92,71.24,133.08
"456","2008/2009",40,"4/2/2009",11,93.88,5,9,11,9,12,113.76,99.02,92.15,110.92,71.24
"457","2008/2009",41,"4/9/2009",3,172.91,11,5,9,11,9,93.88,113.76,99.02,92.15,110.92
"458","2008/2009",42,"4/16/2009",5,63.6,3,11,5,9,11,172.91,93.88,113.76,99.02,92.15
"459","2008/2009",43,"4/23/2009",5,72,5,3,11,5,9,63.6,172.91,93.88,113.76,99.02
"460","2008/2009",44,"4/30/2009",4,57.38,5,5,3,11,5,72,63.6,172.91,93.88,113.76
"461","2008/2009",45,"5/7/2009",4,60.37,4,5,5,3,11,57.38,72,63.6,172.91,93.88
"462","2008/2009",46,"5/14/2009",1,27.07,4,4,5,5,3,60.37,57.38,72,63.6,172.91
"463","2008/2009",47,"5/21/2009",0,65.93,1,4,4,5,5,27.07,60.37,57.38,72,63.6
"464","2008/2009",48,"5/28/2009",2,27.96,0,1,4,4,5,65.93,27.07,60.37,57.38,72
"465","2008/2009",49,"6/4/2009",3,35.29,2,0,1,4,4,27.96,65.93,27.07,60.37,57.38
"466","2008/2009",50,"6/11/2009",3,38.9,3,2,0,1,4,35.29,27.96,65.93,27.07,60.37
"467","2008/2009",51,"6/18/2009",5,67.39,3,3,2,0,1,38.9,35.29,27.96,65.93,27.07
"468","2008/2009",52,"6/25/2009",2,131.14,5,3,3,2,0,67.39,38.9,35.29,27.96,65.93
